"Code","Date","Observed","Suggested","Anomaly (std.devs.)","Deleted"
p001,1997-12-25,0.7,30.5,-8.04,1
p001,1997-12-26,48.2,5.6,11.48,1
p003,1986-01-07,0,29,-7.48,1
p003,1986-01-09,0,35.7,-9.2,1
p003,1986-01-11,0,29.3,-7.57,1
p002,1986-01-05,50,2.5,12.31,1
p002,1986-01-07,51.2,0,13.26,1
p002,1986-01-08,51,3.5,12.31,1
p002,1986-01-11,50.9,0.5,13.07,1
p001,1987-03-08,36.5,3.9,8.79,0
p001,1988-02-11,40.8,5.9,9.42,0
p001,1998-10-12,34.3,7.5,7.24,0
p001,1999-02-24,0.2,25.2,-6.75,0
p001,2001-04-07,2.6,20.6,-4.87,0
p001,2003-03-07,2.2,23.2,-5.67,0
p001,2005-02-27,34.4,4,8.2,0
p001,2007-03-28,30,1.2,7.78,0
p001,2009-04-11,3.4,26.3,-6.18,0
p001,2009-04-12,32.7,2,8.27,0
p001,2009-12-24,35.8,2.3,9.03,0
p001,2010-02-21,0,18.4,-4.97,0
p001,2010-04-05,29.2,1.6,7.44,0
p001,2011-01-29,1.3,21.6,-5.48,0
p001,2011-02-02,0,19,-5.12,0
p001,2012-11-01,41.2,4.3,9.96,0
p001,2014-01-04,0,21.4,-5.79,0
p001,2014-03-04,34.9,1,9.14,0
p002,2003-03-07,37.1,12.7,7.63,0
p002,2004-03-25,38.6,3,11.11,0
p002,2007-02-27,36.3,4.1,10.06,0
p002,2009-12-26,36.3,9.9,8.25,0
p002,2012-12-08,36.9,9.3,8.64,0
p002,2013-05-04,27.9,0.2,8.65,0
p003,1986-01-05,6.5,28.3,-5.62,0
p003,1986-01-06,0,26.5,-6.84,0
p003,1986-01-08,7.1,29.8,-5.85,0
p003,1986-01-10,0,26.4,-6.82,0
p003,1986-01-12,0,25.6,-6.6,0
p003,1986-01-15,0,23.2,-5.98,0
p003,1986-01-16,0,19.3,-4.99,0
p003,1986-01-27,2.5,25.8,-6.03,0
p003,1986-03-09,1.4,21.6,-5.22,0
p003,1986-05-01,0,24.2,-6.25,0
p003,1986-10-04,0,20.4,-5.26,0
p003,1986-11-05,0,19.5,-5.04,0
p003,1987-03-08,3.9,23.9,-5.16,0
p003,1988-01-25,0,26,-6.7,0
p003,1995-03-12,32.2,4.1,7.26,0
p003,2011-03-29,0,20.1,-5.2,0
p003,2011-10-29,33.2,4.6,7.39,0
p003,2012-01-04,40.8,0.4,10.43,0
p003,2012-11-01,0,21.7,-5.61,0
p003,2014-09-18,0,19.6,-5.07,0
p003,2015-01-19,4,29,-6.45,0
p003,2015-02-15,12,31.5,-5.04,0
p003,2015-02-17,29.8,0,7.69,0
p003,2017-03-29,1.6,21.4,-5.11,0
p003,2017-11-17,3.9,24.4,-5.3,0
p004,1995-04-07,0.8,19.2,-5.31,0
p004,1995-12-22,36.6,6,8.78,0
p004,1996-01-20,32.5,6.6,7.41,0
p004,1997-12-26,3.2,22.2,-5.45,0
p004,1998-01-24,35.5,10.6,7.14,0
p004,1998-02-24,31.5,2.6,8.3,0
p004,1998-10-12,6.8,23.9,-4.92,0
p004,2008-10-17,39,3.1,10.31,0
p004,2011-02-02,34,9.5,7.03,0
p004,2011-03-29,36.5,9.1,7.84,0
p004,2014-03-03,33,8.4,7.05,0
p002,1986-01-04,31.5,0,8.17,0
p002,1986-01-06,40.7,2.9,9.81,0
p002,1986-01-10,40.2,3,9.64,0
p002,1986-01-12,40,2.4,9.74,0
p002,1986-01-13,29.6,1.3,7.35,0
p002,1988-02-11,0,25,-6.43,0
p002,1996-04-10,0,20.6,-5.29,0
p002,1997-12-25,54,20.2,8.68,0
p002,2001-01-13,33.3,5.1,7.24,0
p002,2001-02-20,28.8,0,7.4,0
p001,1987-03-08,36.5,4,8.85,0
p001,1988-02-11,40.8,5.9,9.5,0
p001,1995-02-19,29.8,3.8,7.09,0
p001,1998-10-12,34.3,7.5,7.31,0
p001,1999-02-24,0.2,25.2,-6.8,0
p001,2001-04-07,2.6,20.6,-4.92,0
p001,2003-03-07,2.2,23.2,-5.72,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.85,0
p001,2009-04-11,3.4,26.3,-6.24,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.11,0
p001,2010-02-21,0,18.4,-5.01,0
p001,2010-04-05,29.2,1.6,7.51,0
p001,2011-01-29,1.3,21.6,-5.53,0
p001,2011-02-02,0,18.9,-5.16,0
p001,2012-11-01,41.2,4.3,10.05,0
p001,2014-01-04,0,21.4,-5.84,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.65,0
p002,2004-03-25,38.6,3,11.12,0
p002,2007-02-27,36.3,4.1,10.07,0
p002,2009-12-26,36.3,9.8,8.27,0
p002,2012-12-08,36.9,9.2,8.65,0
p002,2013-05-04,27.9,0.2,8.65,0
p003,1986-01-06,0,27.2,-7.09,0
p003,1986-01-10,0,27.1,-7.06,0
p003,1986-01-12,0,26.2,-6.84,0
p003,1986-01-13,0,18.8,-4.9,0
p003,1986-01-15,0,23.7,-6.18,0
p003,1986-01-16,0,19.8,-5.16,0
p003,1986-01-27,2.5,26.4,-6.23,0
p003,1986-03-09,1.4,22.1,-5.39,0
p003,1986-05-01,0,24.6,-6.42,0
p003,1986-10-04,0,20.6,-5.38,0
p003,1986-11-05,0,19.9,-5.18,0
p003,1987-03-08,3.9,23.9,-5.22,0
p003,1988-01-25,0,26.4,-6.88,0
p003,1995-03-12,32.2,4.1,7.32,0
p003,1997-12-25,21.5,40.3,-4.89,0
p003,2011-03-29,0,20.1,-5.23,0
p003,2011-10-29,33.2,4.5,7.46,0
p003,2012-01-04,40.8,0.4,10.53,0
p003,2012-11-01,0,21.7,-5.65,0
p003,2014-09-18,0,19.7,-5.13,0
p003,2015-01-19,4,29,-6.51,0
p003,2015-02-15,12,31.5,-5.09,0
p003,2015-02-17,29.8,0,7.76,0
p003,2017-03-29,1.6,21.4,-5.15,0
p003,2017-11-17,3.9,24.4,-5.35,0
p004,1995-04-07,0.8,19.7,-5.44,0
p004,1995-12-22,36.6,6.1,8.76,0
p004,1996-01-20,32.5,6.7,7.4,0
p004,1998-01-24,35.5,10.6,7.14,0
p004,1998-02-24,31.5,2.6,8.3,0
p004,1998-10-12,6.8,24,-4.96,0
p004,2008-10-17,39,3.1,10.31,0
p004,2011-03-29,36.5,9.2,7.83,0
p004,2014-03-03,33,8.5,7.04,0
p002,1986-01-04,31.5,0,9.2,0
p002,1986-01-06,40.7,2.8,11.05,0
p002,1986-01-10,40.2,3,10.86,0
p002,1986-01-12,40,2.4,10.97,0
p002,1986-01-13,29.6,1.3,8.28,0
p002,1988-02-11,0,24.3,-7.02,0
p002,1996-04-10,0,19.9,-5.76,0
p002,2001-01-13,33.3,5.1,7.35,0
p002,2001-02-20,28.8,0,7.51,0
p003,1986-01-06,0,27.7,-7.21,1
p003,1986-01-10,0,27.6,-7.18,1
p001,1987-03-08,36.5,4,8.83,0
p001,1988-02-11,40.8,5.9,9.5,0
p001,1995-02-19,29.8,3.8,7.09,0
p001,1998-10-12,34.3,7.5,7.31,0
p001,1999-02-24,0.2,25.1,-6.8,0
p001,2001-04-07,2.6,20.7,-4.92,0
p001,2003-03-07,2.2,23.2,-5.72,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.84,0
p001,2009-04-11,3.4,26.3,-6.24,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.11,0
